type, cue, valid, ICS, stimulus side, stimulus x, stimulus y, response, reaction time
2,1,1,0.50,1,1292,73,1,0.26197
1,-1,1,0.50,-1,1131,-73,1,0.16282
1,1,1,0.50,1,1292,-73,1,0.15978
2,1,1,0.50,1,1292,220,0,0.00000
2,1,1,0.50,1,1131,-73,1,0.27547
1,-1,1,0.50,-1,1292,73,1,0.20054
1,-1,1,1.00,-1,1292,-220,1,0.18538
1,1,1,1.00,1,1292,73,1,0.29755
1,-1,-1,0.50,1,1131,220,0,0.00000
1,1,-1,1.00,-1,969,-220,1,0.00003
2,-1,1,0.50,-1,1292,220,1,0.24513
