type, cue, valid, stimulus, response, reaction time
1,1,-1,-1,1,0.53534
1,1,1,1,1,0.30870
1,1,1,1,1,0.41779
2,-1,1,-1,1,0.68770
1,-1,1,-1,0,0.00000
2,1,1,1,0,0.00000
2,-1,1,-1,1,0.82020
2,-1,-1,1,1,0.66481
1,1,-1,-1,1,0.88493
2,-1,1,-1,0,0.00000
1,-1,1,-1,1,0.95709
1,1,1,1,0,0.00000
2,1,-1,-1,0,0.00000
2,-1,1,-1,0,0.00000
1,-1,1,-1,0,0.00000
2,1,1,1,0,0.00000
1,-1,1,-1,0,0.00000
2,1,1,1,1,0.36114
2,1,1,1,0,0.00000
1,-1,1,-1,0,0.00000
