type, cue, valid, ICS, stimulus side, stimulus x, stimulus y, response, reaction time
1,1,1,1.00,1,805,61,0,0.00000
1,1,1,0.50,1,940,-61,0,0.00000
2,1,-1,0.50,-1,940,0,0,0.00000
2,1,1,1.00,1,805,-185,0,0.00000
2,-1,1,1.00,-1,805,185,0,0.00000
2,-1,1,1.00,-1,1076,-185,0,0.00000
2,1,1,1.00,1,805,-61,0,0.00000
2,1,-1,1.00,-1,805,-185,0,0.00000
1,1,1,0.50,1,940,185,0,0.00000
1,-1,1,1.00,-1,1076,-61,0,0.00000
1,1,1,0.50,1,1076,-185,0,0.00000
2,1,1,0.50,1,940,61,0,0.00000
2,-1,-1,0.50,1,940,0,0,0.00000
2,1,1,0.50,1,805,-61,0,0.00000
2,1,1,1.00,1,1076,185,0,0.00000
2,1,1,1.00,1,940,-185,0,0.00000
2,1,1,0.50,1,1076,185,0,0.00000
1,-1,1,0.50,-1,1076,61,0,0.00000
2,-1,-1,0.50,1,805,-185,0,0.00000
2,-1,-1,1.00,1,940,185,0,0.00000
1,1,1,1.00,1,805,-61,0,0.00000
2,1,1,0.50,1,805,61,0,0.00000
1,1,1,1.00,1,940,185,0,0.00000
1,1,-1,1.00,-1,805,-185,0,0.00000
1,1,1,1.00,1,1076,185,0,0.00000
1,-1,-1,0.50,1,805,-185,0,0.00000
1,-1,1,1.00,-1,1076,61,0,0.00000
2,1,1,1.00,1,940,61,0,0.00000
2,1,1,1.00,1,1076,-185,0,0.00000
2,1,1,0.50,1,1076,61,0,0.00000
1,1,-1,0.50,-1,805,-185,0,0.00000
2,-1,1,1.00,-1,805,-61,0,0.00000
1,-1,1,0.50,-1,805,185,0,0.00000
2,-1,1,1.00,-1,1076,61,0,0.00000
2,-1,1,1.00,-1,1076,185,0,0.00000
1,-1,1,0.50,-1,940,185,0,0.00000
1,1,1,1.00,1,1076,61,0,0.00000
2,1,1,0.50,1,940,185,0,0.00000
2,-1,1,1.00,-1,940,-185,0,0.00000
1,-1,1,1.00,-1,1076,185,0,0.00000
1,1,-1,1.00,-1,940,0,0,0.00000
2,-1,1,1.00,-1,940,185,0,0.00000
2,1,-1,0.50,-1,940,185,0,0.00000
1,1,1,1.00,1,805,-185,0,0.00000
2,-1,1,1.00,-1,940,61,0,0.00000
2,-1,1,0.50,-1,940,61,0,0.00000
2,1,1,0.50,1,940,-185,0,0.00000
1,1,1,0.50,1,805,61,0,0.00000
2,1,1,1.00,1,940,185,0,0.00000
2,1,1,1.00,1,1076,-61,0,0.00000
1,-1,1,0.50,-1,940,-61,0,0.00000
1,-1,1,0.50,-1,805,-61,0,0.00000
1,1,1,0.50,1,805,-61,0,0.00000
1,-1,1,0.50,-1,1076,-61,0,0.00000
1,-1,1,0.50,-1,805,-185,0,0.00000
2,-1,-1,1.00,1,805,-185,0,0.00000
1,1,1,1.00,1,940,-61,0,0.00000
1,1,1,0.50,1,805,-185,0,0.00000
2,1,1,0.50,1,805,185,0,0.00000
1,1,1,1.00,1,805,185,0,0.00000
1,-1,1,1.00,-1,805,61,0,0.00000
2,1,1,0.50,1,940,-61,0,0.00000
2,1,-1,1.00,-1,940,0,0,0.00000
1,1,1,1.00,1,1076,-185,0,0.00000
2,-1,1,0.50,-1,1076,-61,0,0.00000
1,1,1,0.50,1,940,61,0,0.00000
1,1,-1,1.00,-1,940,185,0,0.00000
1,-1,1,1.00,-1,940,61,0,0.00000
1,1,1,0.50,1,1076,185,0,0.00000
2,-1,1,0.50,-1,805,-61,0,0.00000
1,1,1,0.50,1,1076,61,0,0.00000
1,-1,1,1.00,-1,1076,-185,0,0.00000
1,1,-1,0.50,-1,940,0,0,0.00000
2,-1,1,0.50,-1,940,-61,0,0.00000
2,-1,-1,1.00,1,940,0,0,0.00000
2,-1,1,0.50,-1,1076,-185,0,0.00000
2,-1,1,1.00,-1,805,-185,0,0.00000
1,-1,1,1.00,-1,805,-185,0,0.00000
2,1,1,0.50,1,1076,-185,0,0.00000
1,1,1,0.50,1,805,185,0,0.00000
1,-1,1,1.00,-1,940,-185,0,0.00000
1,-1,1,1.00,-1,940,185,0,0.00000
2,1,1,1.00,1,805,185,0,0.00000
1,-1,1,0.50,-1,1076,-185,0,0.00000
1,1,-1,0.50,-1,940,185,0,0.00000
1,-1,-1,1.00,1,805,-185,0,0.00000
2,-1,1,1.00,-1,1076,-61,0,0.00000
2,-1,1,0.50,-1,940,-185,0,0.00000
1,1,1,0.50,1,940,-185,0,0.00000
2,1,1,0.50,1,1076,-61,0,0.00000
2,1,1,1.00,1,1076,61,1,0.31384
2,1,-1,1.00,-1,940,185,1,0.26713
1,-1,1,1.00,-1,940,-61,1,0.45187
2,-1,1,0.50,-1,805,61,0,0.00000
2,-1,1,1.00,-1,940,-61,0,0.00000
2,1,1,1.00,1,940,-61,0,0.00000
2,-1,1,0.50,-1,805,185,0,0.00000
1,-1,1,0.50,-1,1076,185,0,0.00000
1,1,1,1.00,1,940,61,0,0.00000
2,1,1,0.50,1,805,-185,0,0.00000
2,-1,1,0.50,-1,940,185,0,0.00000
1,-1,1,0.50,-1,940,61,0,0.00000
1,-1,1,1.00,-1,805,185,0,0.00000
1,1,1,0.50,1,1076,-61,0,0.00000
1,1,1,1.00,1,1076,-61,0,0.00000
2,-1,1,0.50,-1,1076,61,0,0.00000
1,1,1,1.00,1,940,-185,0,0.00000
2,-1,1,0.50,-1,1076,185,0,0.00000
1,-1,1,1.00,-1,805,-61,0,0.00000
2,1,-1,0.50,-1,805,-185,0,0.00000
2,1,1,1.00,1,805,61,0,0.00000
1,-1,-1,1.00,1,940,0,0,0.00000
1,-1,-1,1.00,1,940,185,0,0.00000
2,-1,1,1.00,-1,805,61,0,0.00000
1,-1,-1,0.50,1,940,185,0,0.00000
2,-1,-1,0.50,1,940,185,0,0.00000
1,-1,1,0.50,-1,940,-185,0,0.00000
1,-1,-1,0.50,1,940,0,0,0.00000
1,-1,1,0.50,-1,805,61,0,0.00000
2,-1,1,0.50,-1,805,-185,0,0.00000
