type, cue, valid, ICS, stimulus side, stimulus x, stimulus y, response, reaction time
1,1,-1,1.00,-1,1131,0,1,0.30129
2,-1,1,1.00,-1,1292,220,1,0.24756
2,-1,1,1.00,-1,1131,-73,1,0.28121
2,-1,1,0.50,-1,1131,-220,1,0.46793
2,1,1,0.50,1,969,220,1,0.33149
2,-1,-1,1.00,1,969,-220,1,0.26124
2,1,-1,0.50,-1,1131,0,1,0.29917
1,-1,-1,0.50,1,1131,0,1,0.35190
1,-1,-1,0.50,1,1131,220,1,0.00007
2,-1,1,0.50,-1,1292,73,1,0.29919
2,1,1,1.00,1,1292,-73,1,0.22848
