type, cue, valid, ICS, stimulus side, stimulus x, stimulus y, response, reaction time
1,1,1,0.50,1,969,-73,0,0.00000
2,1,1,0.50,1,1131,73,1,0.18511
1,-1,1,0.50,-1,969,-220,1,0.22232
2,1,-1,1.00,-1,969,-220,1,0.30311
1,-1,1,0.50,-1,1292,-220,1,0.31580
2,1,1,0.50,1,1131,-73,1,0.19367
2,1,1,0.50,1,969,-220,1,0.24780
2,-1,-1,1.00,1,1131,220,1,0.19268
2,-1,1,1.00,-1,969,220,1,0.19498
2,1,-1,1.00,-1,1131,220,1,0.17280
1,-1,1,1.00,-1,969,-220,1,0.25304
