type, cue, valid, ICS, stimulus side, stimulus x, stimulus y, response, reaction time
1,-1,1,1.00,-1,969,-73,1,0.17027
2,-1,1,0.50,-1,1292,-220,1,0.36044
1,-1,1,1.00,-1,1131,73,1,0.20035
1,1,1,1.00,1,1131,-220,1,0.20886
1,1,-1,0.50,-1,1131,0,1,0.31910
2,1,1,0.50,1,969,-220,1,0.78862
2,1,1,0.50,1,1131,220,1,0.39477
2,1,1,0.50,1,1131,-220,1,0.33537
1,1,-1,1.00,-1,1131,220,1,0.24069
1,1,1,0.50,1,1292,-73,1,0.20589
1,-1,1,0.50,-1,1292,-220,1,0.20350
